source_url,title,year,source,life_focus,focus_basis,life_signal,form_family,genre,description_available
https://hoerspiele.dra.de/detailansicht/1356662,Brasil,1982,DRA,Artist / visual artist,Artist / visual artist: keyword evidence,portrait,original radio play,Originalhörspiel,False
https://hoerspiele.dra.de/detailansicht/1356564,Das unheilvolle Porträt,1981,DRA,Ordinary / private person,Fallback: no named public role detected in available metadata,portrait,adaptation,Hörspielbearbeitung,False
https://hoerspiele.dra.de/detailansicht/1356916,Die verlorenen Spuren (2. Teil),1982,DRA,Musician / composer,Musician / composer: keyword evidence,diary/letters,adaptation,Hörspielbearbeitung,False
https://hoerspiele.dra.de/detailansicht/1356785,Marienbader Briefe,1982,DRA,Ordinary / private person,Fallback: no named public role detected in available metadata,diary/letters,other,Hörspiel,False
https://hoerspiele.dra.de/detailansicht/1349346,Emma Goldmann - Die gefährlichste Frau der Welt,1981,DRA,Women's life,Women's life: keyword evidence,biography; autobiography,adaptation,Hörspielbearbeitung,False
https://hoerspiele.dra.de/detailansicht/1356959,Tagebuch meiner Töne,1982,DRA,Musician / composer; Artist / visual artist,Musician / composer: keyword evidence | Artist / visual artist: keyword evidence,diary/letters,other,Hörspiel,False
https://hoerspiele.dra.de/detailansicht/1357042,"""Nachwort eines Zauberers"" nach dem Hörspiel 'Cagliostro - Porträt eines Schriftstellers' von Karl Richard Tschon",1983,DRA,Author / literary figure,Author / literary figure: keyword evidence,portrait,other,Kommentar,False
https://hoerspiele.dra.de/detailansicht/1356998,Biographie und Liebe,1983,DRA,Artist / visual artist; Actor / performer; Family / intimate life,Artist / visual artist: keyword evidence | Actor / performer: keyword evidence | Family / intimate life: keyword evidence,biography,adaptation,Hörspielbearbeitung,False
https://hoerspiele.dra.de/detailansicht/1357148,Fortsetzung einer Flucht - Ein autobiographisches Hörspiel,1983,DRA,Author / literary figure,Author / literary figure: keyword evidence,biography; autobiography,feature / documentary,Originaltonhörspiel,False
https://hoerspiele.dra.de/detailansicht/1366276,Das Kranke Dorf oder: Vier Briefe aus L.,1987,DRA,Collective / community,Collective / community: keyword evidence,diary/letters,other,Hörspiel,False
https://hoerspiele.dra.de/detailansicht/1369519,Ein Leben auf der Flucht vor der Koralle,1994,DRA,Women's life; Musician / composer; Actor / performer,Women's life: keyword evidence | Musician / composer: keyword evidence | Actor / performer: keyword evidence,implicit,original radio play,Originalhörspiel,False
https://hoerspiele.dra.de/detailansicht/1369551,Mein Leben,1994,DRA,Musician / composer; Collective / community,Musician / composer: keyword evidence | Collective / community: keyword evidence,biography; autobiography,adaptation,Hörspielbearbeitung,False
https://hoerspiele.dra.de/detailansicht/1369714,... is a dangerous number,1994,DRA,Author / literary figure; Scholar / intellectual,Author / literary figure: keyword evidence | Scholar / intellectual: keyword evidence,portrait; biography; autobiography,feature / documentary,Feature,False
https://hoerspiele.dra.de/detailansicht/1370391,"Vom Enden einer Liebe, einer Frau",1987,DRA,Women's life; Family / intimate life,Women's life: keyword evidence | Family / intimate life: keyword evidence,diary/letters,adaptation,Hörspielbearbeitung,False
https://hoerspiele.dra.de/detailansicht/1370564,"Hörspielwerkstatt - ""Wichtig ist auch die durchkomponierte Pause ...""",1988,DRA,Ordinary / private person,Fallback: no named public role detected in available metadata,portrait,other,Hörspiel,False
https://hoerspiele.dra.de/detailansicht/1370331,Das Porträt,1994,DRA,Artist / visual artist; Actor / performer,Artist / visual artist: keyword evidence | Actor / performer: keyword evidence,portrait,adaptation,Hörspielbearbeitung,False
https://hoerspiele.dra.de/detailansicht/1370867,John Cage,1988,DRA,Musician / composer; Artist / visual artist,Musician / composer: keyword evidence | Artist / visual artist: keyword evidence,portrait,portrait,Porträt,False
https://hoerspiele.dra.de/detailansicht/1370870,Der Ohrenblick,1988,DRA,Musician / composer,Musician / composer: keyword evidence,portrait; memory/testimony,portrait,Porträt,False
https://hoerspiele.dra.de/detailansicht/1370868,Mauricio Kagel,1988,DRA,Musician / composer; Actor / performer,Musician / composer: keyword evidence | Actor / performer: keyword evidence,portrait,portrait,Porträt,False
https://hoerspiele.dra.de/detailansicht/1371042,Oktober-Nächte/Les nuits d'octobre,1988,DRA,Ordinary / private person,Fallback: no named public role detected in available metadata,memory/testimony,adaptation,Hörspielbearbeitung,False
https://hoerspiele.dra.de/detailansicht/1371169,"Lieber Piet, liebe Sandra",1989,DRA,Family / intimate life,Family / intimate life: keyword evidence,diary/letters,other,Kurzhörspiel,False
https://hoerspiele.dra.de/detailansicht/1371171,Von Herren und Knechten,1989,DRA,Family / intimate life,Family / intimate life: keyword evidence,diary/letters,other,Kurzhörspiel,False
https://hoerspiele.dra.de/detailansicht/1371100,And what about me? Ein Porträt des Autors Raymond Federman,1989,DRA,Author / literary figure,Author / literary figure: keyword evidence,portrait; memory/testimony,portrait,Porträt,False
https://hoerspiele.dra.de/detailansicht/1371173,"Amore, Amore",1989,DRA,Ordinary / private person,Fallback: no named public role detected in available metadata,diary/letters,other,Kurzhörspiel,False
https://hoerspiele.dra.de/detailansicht/1371074,Die Courage des George Tabori,1989,DRA,Author / literary figure; Actor / performer,Author / literary figure: keyword evidence | Actor / performer: keyword evidence,portrait,feature / documentary,Originaltonhörspiel,False
https://hoerspiele.dra.de/detailansicht/1371238,Baal Babylon,1989,DRA,Author / literary figure; Artist / visual artist; Family / intimate life,Author / literary figure: keyword evidence | Artist / visual artist: keyword evidence | Family / intimate life: keyword evidence,biography; autobiography,adaptation,Hörspielbearbeitung,False
https://hoerspiele.dra.de/detailansicht/1371889,Mein Spaziergang nach Syrakus - Briefe an einen Freund (2. Teil: Annäherungen),1985,DRA,Author / literary figure,Author / literary figure: keyword evidence,diary/letters,other,Hörspiel,False
