source_url,title,year,source,dedicated_to,short_description,life_focus,focus_basis,life_signal,form_family,genre
https://hoerspiele.dra.de/detailansicht/1356662,Brasil,1982,DRA,Brazil,This record is a radio portrait of Brasil.,Collective / community; Fictional / symbolic / place subject,Collective / community; Fictional / symbolic / place subject,portrait,original radio play,Originalhörspiel
https://hoerspiele.dra.de/detailansicht/1356564,Das unheilvolle Porträt,1981,DRA,Diderot's fictional portrait subjects,This record is a radio portrait of Denis Diderot.,Author / literary figure; Fictional / symbolic / place subject,Author / literary figure; Fictional / symbolic / place subject,portrait,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1356916,Die verlorenen Spuren (2. Teil),1982,DRA,Alejo Carpentier,"This record is based on letters, diaries, writings, or other self-records connected to Alejo Carpentier.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1356785,Marienbader Briefe,1982,DRA,Rolf Schneider,"This record is based on letters, diaries, writings, or other self-records connected to Rolf Schneider.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1349346,Emma Goldmann - Die gefährlichste Frau der Welt,1981,DRA,Emma Goldmann,This record adapts autobiographical material by or about Emma Goldmann.,Women's life,Women's life,biography; autobiography,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1356959,Tagebuch meiner Töne,1982,DRA,Pierre Henry,"This record is based on letters, diaries, writings, or other self-records connected to Pierre Henry. The metadata identifies the subject as a composer.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1357042,"""Nachwort eines Zauberers"" nach dem Hörspiel 'Cagliostro - Porträt eines Schriftstellers' von Karl Richard Tschon",1983,DRA,Cagliostro,This record is a radio portrait of Alexander Adrion. The metadata identifies the subject as a writer.,Artist / visual artist,Artist / visual artist,portrait,other,Kommentar
https://hoerspiele.dra.de/detailansicht/1356998,Biographie und Liebe,1983,DRA,Samuel Nathaniel Behrman,This record presents biographical material about Samuel Nathaniel Behrman. The metadata identifies the subject as a artist.,Family / intimate life; Documentary / self-record subject,Family / intimate life | Documentary / self-record subject,biography,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1357148,Fortsetzung einer Flucht - Ein autobiographisches Hörspiel,1983,DRA,Werner Meyke,This record adapts autobiographical material by or about Werner Meyke. The metadata identifies the subject as a writer.,Ordinary / private person,Ordinary / private person,biography; autobiography,feature / documentary,Originaltonhörspiel
https://hoerspiele.dra.de/detailansicht/1366276,Das Kranke Dorf oder: Vier Briefe aus L.,1987,DRA,Christian Wolf,"This record is based on letters, diaries, writings, or other self-records connected to Christian Wolf.",Collective / community; Documentary / self-record subject,Collective / community | Documentary / self-record subject,diary/letters,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1369519,Ein Leben auf der Flucht vor der Koralle,1994,DRA,Subject not identified,The source metadata is too sparse to identify the subject reliably; this record needs manual review.,Unclear / needs review,Unclear / needs review,implicit,original radio play,Originalhörspiel
https://hoerspiele.dra.de/detailansicht/1369551,Mein Leben,1994,DRA,Johann Gottfried Seume,This record adapts autobiographical material by or about Johann Gottfried Seume.,Ordinary / private person,Ordinary / private person,biography; autobiography,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1369714,... is a dangerous number,1994,DRA,Karl Bruckmaier,This record adapts autobiographical material by or about Karl Bruckmaier. The metadata identifies the subject as a writer.,Ordinary / private person,Ordinary / private person,portrait; biography; autobiography,feature / documentary,Feature
https://hoerspiele.dra.de/detailansicht/1370391,"Vom Enden einer Liebe, einer Frau",1987,DRA,Susette Gontard,"This record is based on letters, diaries, writings, or other self-records connected to Susette Gontard; Friedrich Hölderlin.",Women's life,Women's life,diary/letters,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1370564,"Hörspielwerkstatt - ""Wichtig ist auch die durchkomponierte Pause ...""",1988,DRA,Henning Rademacher,This record is a radio portrait of Henning Rademacher.,Ordinary / private person,Ordinary / private person,portrait,other,Hörspiel
