source_url,dedicated_to,life_focus,short_description
https://hoerspiele.dra.de/detailansicht/1447662,Gotthold Ephraim Lessing,Author / literary figure,"Based on letters, writings, and documents from the final years of Gotthold Ephraim Lessing."
https://hoerspiele.dra.de/detailansicht/1372907,Billie Holiday,Musician / composer,"Adaptation of Billie Holiday's autobiography Lady Sings the Blues."
https://hoerspiele.dra.de/detailansicht/1374444,Anne Frank,Women's life; Documentary / self-record subject,"Adaptation from Anne Frank's diary."
https://hoerspiele.dra.de/detailansicht/1370867,John Cage,Musician / composer,"A radio portrait of John Cage as a composer and radio-play maker."
https://hoerspiele.dra.de/detailansicht/1370870,Luc Ferrari,Musician / composer,"A radio portrait of Luc Ferrari, focusing on his work as a composer and radio-play maker."
https://hoerspiele.dra.de/detailansicht/1370868,Mauricio Kagel,Musician / composer,"A radio portrait of Mauricio Kagel as a composer working between music, language, scene, film, and radio."
https://hoerspiele.dra.de/detailansicht/1370331,Subject not identified,Unclear / needs review,"The source lists this as a radio portrait or adaptation, but the named subject is not clear from the available metadata."
https://hoerspiele.dra.de/detailansicht/1372252,Ernst Schnabel,Author / literary figure,"A radio portrait of Ernst Schnabel as a writer and radio figure."
https://hoerspiele.dra.de/detailansicht/1374721,Hartmut Geerken,Author / literary figure,"A radio portrait of Hartmut Geerken as an author and radio artist."
https://hoerspiele.dra.de/detailansicht/1443138,Subject not identified,Documentary / self-record subject,"This record is based on letters or self-record material, but the named subject is not clear from the available metadata."
https://hoerspiele.dra.de/detailansicht/1443137,Subject not identified,Documentary / self-record subject,"This record is based on letters or self-record material, but the named subject is not clear from the available metadata."
https://hoerspiele.dra.de/detailansicht/4963362,Werner Buhss,Author / literary figure,"A radio portrait of Werner Buhss as a radio-play author."
https://hoerspiele.dra.de/detailansicht/5014999,Subject not identified,Unclear / needs review,"The source lists this as a radio portrait or adaptation, but the named subject is not clear from the available metadata."
https://www.hoerspielundfeature.de/hoerspiel-nach-max-frisch-montauk-2-100.html,Max Frisch,Author / literary figure,"An adaptation of Max Frisch's autobiographical work Montauk."
https://www.hoerspielundfeature.de/die-angestellten-poetische-dystopie-von-olga-ravn-100.html,Subject not identified,Unclear / needs review,"The source lists this as a radio portrait or adaptation, but the named subject is not clear from the available metadata."
https://www.hoerspielundfeature.de/frauenstimmen-moegen-sie-emily-dickinson-100.html,Emily Dickinson,Women's life; Author / literary figure,"A radio work based on letters and poems by Emily Dickinson."
https://hoerspiele.dra.de/detailansicht/4991273,Emily Dickinson,Women's life; Author / literary figure,"A radio work based on letters and poems by Emily Dickinson."
https://hoerspiele.dra.de/detailansicht/5032659,Emily Dickinson,Women's life; Author / literary figure,"A radio work based on letters and poems by Emily Dickinson."
