source_url,title,source,short_description,extraction_method,english_description
https://hoerspiele.dra.de/detailansicht/1356662,Brasil,DRA,"Im Jahre 1500 wurde Brasilien für die portugiesische Krone in Besitz genommen. In den folgenden Jahrhunderten - 1889 wurde das Land Republik - bedienten sich die Kolonisatoren aus seinen Vorräten: sie schleppten schwarze Sklaven, Europa, das Christentum nebst Barock ins Land, sie schleppten Gold, Diamanten, Kaffee heraus.",html:dra,"In 1500 Brazil was taken over by the Portuguese crown. In the following centuries - the country became a republic in 1889 - the colonizers made use of its supplies: they brought enslaved Africans, Europe, Christianity and Baroque into the country, they extracted gold, diamonds and coffee."
https://hoerspiele.dra.de/detailansicht/1356564,Das unheilvolle Porträt,DRA,"Hans Magnus Enzenberger setzt die Reihe seiner Hörspieladaptionen der Weltliteratur fort mit einem Text des großen französischen Aufklärers Denis Diderot (1713-1784). ""Das kleine Stück beruht auf einem fragmentarischen Text von Diderot, der erst 1953 aufgefunden und veröffentlicht worden ist.",html:dra,"Hans Magnus Enzenberger continues his series of radio work adaptations of world literature with a text by the great French Enlightenment philosopher Denis Diderot (1713-1784). ""The small piece is based on a fragmentary text by Diderot that was only found and published in 1953."
https://hoerspiele.dra.de/detailansicht/1356916,Die verlorenen Spuren (2. Teil),DRA,"Vorlage: Die verlorenen Spuren (Roman, spanisch) Übersetzung: Anneliese Botond Bearbeitung (Wort): Heinz von Cramer Komposition: Heinz von Cramer Technische Realisierung: Günther Kasper, Gabriele Röhrig",html:dra,"A radio work based on The Lost Traces (novel, Spanish)."
https://hoerspiele.dra.de/detailansicht/1356785,Marienbader Briefe,DRA,"Am 22. März 1832 starb Johann Wolfgang v. Goethe. Acht Jahre vor seinem Tod, während der Sommerferien im böhmischen Marienbad, hatte sich der berühmte Mann, mit immerhin schon 74 Jahren, in die 19jährige Ulrike v. Levetzow verliebt.",html:dra,"Johann Wolfgang v. died on March 22, 1832. Goethe. Eight years before his death, during his summer vacation in Marienbad, Bohemia, the famous man, already 74 years old, fell in love with 19-year-old Ulrike v. Levetzow in love."
https://hoerspiele.dra.de/detailansicht/1349346,Emma Goldmann - Die gefährlichste Frau der Welt,DRA,"Es ist die Lebensgeschichte einer der großen Frauen der internationalen Arbeiterbewegung und eine der faszinierendsten und menschlichsten Persönlichkeiten unter den Anarchisten der Jahrhundertwende: Sie kämpfte in Amerika für den 8-Stunden-Tag, für erträgliche Arbeitsbedingungen, für Geburtenkontrolle, für die Rechte der Frau und gegen Aufrüstung und Krieg.",html:dra,"It is the life story of one of the great women of the international labor movement and one of the most fascinating and humane personalities among the anarchists at the turn of the century: She fought in America for the 8-hour day, for tolerable working conditions, for birth control, for women's rights and against rearmament and war."
https://hoerspiele.dra.de/detailansicht/1356959,Tagebuch meiner Töne,DRA,"Pierre Henry war der erste professionelle Komponist, der das Komponieren im traditionellen Sinne (das Schreiben von Partituren) aufgab und sich konsequent der ""Kunst im Zeitalter der technischen Reproduzierbarkeit"" verschrieb: in der ""musique concrète"", die er zusammen mit Pierre Schaeffer begründete und deren führender Vertreter er bis heute geblieben…",html:dra,"Pierre Henry was the first professional composer who gave up composing in the traditional sense (writing scores) and consistently dedicated himself to ""art in the age of technical reproducibility"": in the ""musique concrète"", which he founded together with Pierre Schaeffer and of which he remains a leading representative to this day..."
https://hoerspiele.dra.de/detailansicht/1357042,"""Nachwort eines Zauberers"" nach dem Hörspiel 'Cagliostro - Porträt eines Schriftstellers' von Karl Richard Tschon",DRA,Nachwort,html:dra,Epilogue.
https://hoerspiele.dra.de/detailansicht/1356998,Biographie und Liebe,DRA,"Die Malerin Marion Froude hat berühmte Männer in Ost und West porträtiert und die unzugänglichen Prominenzen dazu gebracht, ihr zu sitzen. Dabei ist sie meist knapp bei Kasse.",html:dra,The painter Marion Froude portrayed famous men in East and West and made the inaccessible celebrities sit with her. She is usually short of money.
https://hoerspiele.dra.de/detailansicht/1357148,Fortsetzung einer Flucht - Ein autobiographisches Hörspiel,DRA,"Es gibt noch immer einige Tonband-besessene Autoren, die durch ihre Arbeit beweisen, daß die Möglichkeiten des Originaltonhörspiels längst nicht ausgeschöpft sind. Diesmal hat er ein O-Ton-Novum geschaffen: eine Autobiographie (Urform der epischen Mitteilung).",html:dra,There are still some tape-obsessed authors who prove through their work that the possibilities of the original audio play are far from being exhausted. This time he has created an original sound novelty: an autobiography (original form of the epic communication).
https://hoerspiele.dra.de/detailansicht/1366276,Das Kranke Dorf oder: Vier Briefe aus L.,DRA,"Ein junger Mann gerät in ein Haus, das von Ratten überfallen wird. In dieser Geschichte prallt Wirklichkeit und Traum, Leben und Tod, Vernunft und Wahnsinn hart aufeinander.",html:dra,"A young man ends up in a house that is being invaded by rats. In this story, reality and dreams, life and death, reason and madness collide."
