map_order,title,year,first_broadcast_date,source,broadcasting_station,cluster,form,genre,protagonist_verified,protagonist_role,author,director,url,description
1,Brasil,1982,28.01.1982,DRA,Hessischer Rundfunk / Österreichischer Rundfunk / Schweizer Radio DRS / Netherlands Broadcasting,Biography,original radio play,Originalhörspiel,Brazil,place; collective,Matthias von Spallart,Matthias von Spallart,https://hoerspiele.dra.de/detailansicht/1356662,"In 1500 Brazil was taken over by the Portuguese crown. In the following centuries - the country became a republic in 1889 - the colonizers made use of its supplies: they brought enslaved Africans, Europe, Christianity and Baroque into the country, they extracted gold, diamonds and coffee."
2,Das unheilvolle Porträt,1981,15.12.1981,DRA,Westdeutscher Rundfunk,Biofiction,adaptation,Hörspielbearbeitung,Denis Diderot,author; philosopher,Denis Diderot,Heinz Wilhelm Schwarz,https://hoerspiele.dra.de/detailansicht/1356564,"Hans Magnus Enzenberger continues his series of radio work adaptations of world literature with a text by the great French Enlightenment philosopher Denis Diderot (1713-1784). ""The small piece is based on a fragmentary text by Diderot that was only found and published in 1953."
3,Die verlorenen Spuren (2. Teil),1982,01.06.1982,DRA,Westdeutscher Rundfunk,Biofiction,adaptation,Hörspielbearbeitung,The unnamed composer/musicologist narrator,fictional character; musician; scholar,Alejo Carpentier,Heinz von Cramer,https://hoerspiele.dra.de/detailansicht/1356916,"A radio work based on The Lost Traces (novel, Spanish)."
4,Marienbader Briefe,1982,20.03.1982,DRA,Sender Freies Berlin / Radio Bremen,Based on letters,other,Hörspiel,Johann Wolfgang von Goethe and Ulrike von Levetzow,author; woman,Rolf Schneider,Rolf Schneider,https://hoerspiele.dra.de/detailansicht/1356785,"Johann Wolfgang v. died on March 22, 1832. Goethe. Eight years before his death, during his summer vacation in Marienbad, Bohemia, the famous man, already 74 years old, fell in love with 19-year-old Ulrike v. Levetzow in love."
5,Emma Goldmann - Die gefährlichste Frau der Welt,1981,31.08.1981,DRA,RIAS Berlin / Südwestfunk,Autobiographical lives,adaptation,Hörspielbearbeitung,Emma Goldman,author; activist; politician; woman,Emma Goldmann,Rosa von Praunheim,https://hoerspiele.dra.de/detailansicht/1349346,"It is the life story of one of the great women of the international labor movement and one of the most fascinating and humane personalities among the anarchists at the turn of the century: She fought in America for the 8-hour day, for tolerable working conditions, for birth control, for women's rights and against rearmament and war."
6,Tagebuch meiner Töne,1982,26.10.1982,DRA,Westdeutscher Rundfunk,Sound art,other,Hörspiel,Pierre Henry,musician; sound artist,Pierre Henry,Pierre Henry,https://hoerspiele.dra.de/detailansicht/1356959,"Pierre Henry was the first professional composer who gave up composing in the traditional sense (writing scores) and consistently dedicated himself to ""art in the age of technical reproducibility"": in the ""musique concrète"", which he founded together with Pierre Schaeffer and of which he remains a leading representative to this day..."
7,"""Nachwort eines Zauberers"" nach dem Hörspiel 'Cagliostro - Porträt eines Schriftstellers' von Karl Richard Tschon",1983,12.01.1983,DRA,Deutschlandfunk,Biofiction,other,Kommentar,Cagliostro / Karl Richard Tschon's Cagliostro portrait,author; performer,Alexander Adrion,,https://hoerspiele.dra.de/detailansicht/1357042,Epilogue.
8,Biographie und Liebe,1983,09.05.1983,DRA,Bayerischer Rundfunk,Biofiction,adaptation,Hörspielbearbeitung,Marion Froude,artist; woman,Samuel Nathaniel Behrman,Wolf Euba,https://hoerspiele.dra.de/detailansicht/1356998,The painter Marion Froude portrayed famous men in East and West and made the inaccessible celebrities sit with her. She is usually short of money.
9,Fortsetzung einer Flucht - Ein autobiographisches Hörspiel,1983,25.03.1983,DRA,Radio Bremen,Autobiographical lives,feature / documentary,Originaltonhörspiel,Werner Meyke,author; sound artist,Werner Meyke,Werner Meyke,https://hoerspiele.dra.de/detailansicht/1357148,There are still some tape-obsessed authors who prove through their work that the possibilities of the original audio play are far from being exhausted. This time he has created an original sound novelty: an autobiography (original form of the epic communication).
10,Das Kranke Dorf oder: Vier Briefe aus L.,1987,02.11.1987,DRA,Südwestfunk,Based on letters,other,Hörspiel,An unnamed young man,fictional character; ordinary person,Christian Wolf,Thomas Köhler,https://hoerspiele.dra.de/detailansicht/1366276,"A young man ends up in a house that is being invaded by rats. In this story, reality and dreams, life and death, reason and madness collide."
